,hours_per_week_schedule,bio_count,rate,number_subjects,welcoming_kw,desc_count,num_popular_subjects,experience_kw,postgrad_degree
112,84,375,40,10,0,2,8,0,1
113,91,370,65,5,1,7,4,1,1
114,112,170,50,12,0,6,5,0,0
115,45,292,50,8,1,7,3,0,0
116,14,327,120,24,0,7,19,0,0
117,80,334,60,18,1,6,10,0,0
118,75,277,45,16,0,2,14,0,0
119,98,336,65,10,1,10,1,0,1
120,91,235,40,21,0,6,16,1,1
121,65,131,45,13,1,10,6,1,1
122,50,183,40,10,1,8,1,1,0
123,85,308,40,8,1,5,2,0,0
124,105,281,48,18,0,5,8,0,1
125,60,261,49,11,0,11,3,1,1
126,22,218,80,43,0,5,21,0,1
127,50,227,55,21,0,10,16,0,1
128,49,274,55,12,0,8,8,0,0
129,32,365,30,10,0,6,5,0,0
130,20,226,35,5,0,3,3,0,1
131,14,295,49,22,0,8,7,0,0
132,70,192,60,23,1,9,15,0,0
133,54,363,65,24,0,12,0,0,1
134,92,162,50,5,0,9,0,1,1
135,77,224,99,19,1,3,17,0,1
136,84,208,50,19,1,3,4,0,0
137,48,330,35,11,0,10,4,1,0
138,42,334,80,12,0,9,7,0,1
139,69,144,45,13,0,5,2,0,1
140,70,262,50,9,0,5,3,1,0
141,75,89,35,6,0,9,5,0,0
142,38,119,55,18,1,10,8,0,0
143,117,357,180,45,0,12,20,0,1
144,21,304,50,20,0,9,1,0,1
145,50,365,45,4,0,8,2,0,0
146,39,176,40,7,1,1,3,0,1
147,65,74,65,11,0,6,10,1,1
148,77,137,30,7,0,8,5,1,1
149,112,284,130,17,1,8,9,0,1
150,43,202,60,23,1,4,18,1,1
151,70,122,30,6,0,4,5,1,0
152,30,270,60,22,0,11,17,1,0
153,25,284,30,4,0,12,3,0,0
154,44,319,20,8,0,8,6,0,0
155,28,252,70,10,0,9,7,1,1
156,84,353,60,10,0,9,3,0,0
157,35,106,50,15,1,9,10,1,1
158,77,137,80,6,0,8,2,0,1
159,50,244,80,11,1,10,5,1,0
160,66,130,20,4,0,10,1,0,1
161,66,240,35,7,0,2,7,1,1
162,30,146,60,13,0,10,3,0,1
163,98,134,25,8,1,4,7,0,0
164,63,238,39,22,0,8,0,0,0
165,39,166,95,32,1,10,1,0,0
166,84,349,60,25,0,9,5,1,0
167,30,266,60,6,1,8,1,1,0
168,70,318,120,15,0,4,10,1,1
169,70,141,50,24,0,8,11,1,1
170,51,116,50,15,1,4,13,0,0
171,84,329,30,7,1,5,0,0,1
172,36,109,60,4,0,8,0,0,1
173,78,153,55,9,0,5,8,0,1
174,78,252,50,9,0,5,2,0,1
175,98,180,40,8,0,8,4,0,0
176,85,240,40,18,0,4,2,1,1
177,54,175,100,8,0,13,1,0,1
178,99,166,45,12,0,5,8,1,1
179,91,331,40,13,0,12,5,0,1
180,82,137,80,4,0,6,0,0,1
181,168,151,15,9,1,6,9,0,0
182,56,285,40,38,1,13,7,1,0
183,35,162,25,12,1,2,7,0,0
184,84,167,50,6,0,8,6,0,1
185,36,252,35,21,0,8,2,0,1
186,82,137,80,4,0,6,0,0,1
187,12,91,20,27,0,4,19,1,1
188,113,322,35,8,0,9,6,0,0
189,70,319,48,10,1,6,6,0,0
190,69,272,28,10,0,8,7,1,0
191,84,349,60,15,0,10,0,1,1
192,154,211,80,34,0,13,8,0,1
193,98,344,60,15,1,8,2,0,0
194,86,164,65,33,0,7,8,0,1
195,50,205,20,10,1,7,3,1,0
196,55,205,50,14,1,8,0,0,1
197,24,264,50,29,0,8,20,1,1
198,70,113,75,18,0,2,11,0,1
199,72,132,60,15,0,5,3,0,1
200,24,149,30,13,0,8,0,0,0
201,63,249,40,7,1,4,7,1,0
202,119,107,45,3,0,2,1,1,0
203,52,295,25,8,0,6,0,0,0
204,25,328,45,4,0,4,3,1,1
205,36,170,75,10,1,9,0,1,0
206,34,209,40,6,0,8,4,1,1
207,98,123,40,16,0,2,7,1,0
208,87,338,55,17,0,6,6,0,1
209,91,333,45,25,0,10,6,0,1
210,66,288,35,7,1,5,1,0,1
211,28,97,50,14,0,8,11,0,0
212,62,224,40,43,0,6,24,1,1
213,91,343,120,30,0,4,6,1,0
214,93,178,70,22,0,7,15,1,1
215,52,158,35,16,0,4,5,0,1
216,49,303,80,23,1,8,18,0,0
217,119,319,50,10,0,8,1,0,1
218,48,263,30,5,0,8,3,0,0
219,15,223,60,5,1,2,0,0,0
220,98,268,50,20,0,10,14,0,0
221,35,197,50,5,0,6,5,0,1
222,124,292,40,17,0,7,11,0,0
223,55,150,35,4,0,12,4,0,1
224,69,105,68,70,0,6,0,0,0
225,105,335,50,44,0,10,21,1,0
226,42,304,45,30,0,4,18,0,1
227,53,116,32,6,0,9,1,0,1
228,105,341,100,10,1,10,2,1,0
229,28,100,40,9,0,4,9,0,0
230,80,345,30,7,1,4,0,1,0
231,54,126,35,14,0,10,5,0,1
232,60,213,30,5,1,3,1,0,1
233,148,281,89,11,1,9,8,1,0
234,45,353,40,9,0,8,6,1,0
235,40,283,150,7,0,10,6,0,0
236,104,358,30,12,1,7,0,0,0
237,56,61,55,37,0,8,25,0,1
238,94,108,40,27,0,10,4,0,1
239,39,146,60,7,0,8,2,0,1
240,104,215,50,8,0,9,6,0,0
241,168,332,34,41,0,8,17,0,0
242,98,198,50,12,1,9,1,1,0
243,12,115,50,8,1,6,6,0,1
244,65,88,40,12,1,4,8,0,1
245,20,250,59,10,0,7,0,1,0
246,87,344,75,12,1,10,3,1,0
247,20,267,40,17,1,10,9,0,0
248,74,155,30,14,0,9,4,0,1
249,98,261,48,29,0,5,0,1,0
250,57,332,50,16,0,10,0,0,1
251,37,361,40,8,1,3,3,0,0
252,88,247,32,35,0,8,22,0,0
253,68,319,65,46,0,8,5,0,0
254,35,102,25,5,1,8,0,0,0
255,65,325,100,16,0,3,8,1,1
256,40,161,60,4,1,9,3,0,0
257,34,329,50,19,0,7,0,1,1
258,79,341,50,31,0,11,1,0,0
259,112,157,50,14,0,10,9,0,1
260,72,185,60,20,0,7,1,0,1
261,75,268,90,23,0,9,0,0,1
262,81,323,20,5,1,11,0,1,0
263,85,113,65,25,1,6,3,0,1
264,55,325,75,16,0,10,12,0,1
265,81,223,60,19,1,8,5,0,1
266,44,241,60,17,1,8,6,1,0
267,112,340,45,38,0,7,24,1,1
268,42,174,45,14,0,5,5,0,0
269,70,238,35,7,1,9,4,0,0
270,65,174,60,20,0,6,11,0,1
271,98,337,25,12,1,4,5,0,1
272,60,111,40,12,1,5,8,0,0
273,36,234,35,14,1,5,1,1,1
274,34,90,25,17,1,7,11,0,0
275,10,120,50,14,1,7,11,1,1
276,34,164,100,9,0,6,3,0,1
277,55,181,45,31,0,10,22,0,0
278,32,335,60,8,0,3,2,0,1
279,20,290,65,13,0,8,2,0,1
280,105,292,100,11,1,11,0,1,1
281,83,154,40,14,0,9,9,0,0
282,70,206,135,11,0,7,6,1,1
283,11,339,60,6,0,9,0,0,1
284,49,369,25,21,0,5,8,1,1
285,46,329,40,20,0,10,4,0,1
286,40,184,75,5,0,9,2,0,1
287,16,159,35,15,1,6,14,0,0
288,96,193,25,12,0,7,8,0,0
289,19,59,40,7,0,10,2,0,1
290,91,232,55,6,0,8,0,0,1
291,71,232,55,5,1,7,0,1,1
292,22,290,25,13,1,7,6,0,1
293,43,190,20,15,0,9,2,0,0
294,40,156,65,18,0,7,8,0,1
295,91,184,45,10,1,4,6,0,1
296,70,280,32,8,0,9,4,1,0
297,52,137,35,11,0,7,4,0,0
298,21,295,50,9,1,12,3,0,1
299,72,272,50,8,1,5,2,0,1
300,119,166,60,6,0,7,0,0,1
301,83,359,35,11,0,7,1,1,0
302,168,176,50,50,1,9,7,0,1
303,27,165,50,16,0,11,8,0,1
304,70,280,32,8,0,9,4,1,0
305,112,336,100,19,0,8,15,0,1
306,44,164,50,10,1,8,0,0,0
307,46,155,60,10,1,7,0,0,1
308,18,120,40,17,0,8,9,0,1
309,103,106,50,35,0,10,17,1,1
310,39,241,54,11,1,5,6,0,1
311,52,185,30,8,1,6,0,0,0
312,32,190,60,39,0,11,15,0,1
313,49,346,15,11,1,10,9,0,0
314,70,383,40,9,1,2,0,0,0
315,28,207,70,21,1,11,10,0,1
316,12,222,75,12,0,4,7,0,1
317,34,273,48,18,1,9,3,1,1
318,40,291,60,3,0,6,2,0,0
319,85,289,95,18,0,9,10,0,1
320,84,311,50,17,0,10,1,0,1
321,86,229,30,8,0,6,0,1,1
322,5,162,40,10,1,5,4,0,1
323,24,212,40,6,1,11,5,1,0
324,73,320,45,9,1,2,2,0,1
325,72,304,90,21,1,12,12,0,1
326,18,140,40,7,1,3,5,0,1
327,61,350,75,44,0,4,16,0,1
328,70,111,60,22,0,7,8,0,1
329,15,250,35,8,1,7,6,1,1
330,74,191,50,15,0,8,7,0,0
331,27,344,70,8,0,4,5,0,0
332,72,266,50,22,0,5,7,0,1
333,30,335,55,8,0,5,8,0,0
334,105,140,100,14,1,5,11,0,0
335,51,162,50,21,1,4,15,1,0
336,168,120,45,9,0,10,3,0,1
337,70,124,40,6,0,6,1,0,1
338,70,314,40,2,1,9,1,0,1
339,96,149,50,10,1,11,8,0,0
340,84,309,100,12,0,7,10,0,1
341,80,265,30,3,0,8,3,0,1
342,60,326,40,2,0,4,1,0,1
343,76,341,50,26,1,12,16,0,0
344,70,296,60,10,0,3,8,0,1
345,34,80,40,33,0,8,3,0,1
346,70,306,80,34,0,9,28,1,0
347,105,225,30,14,0,5,10,1,0
348,62,291,35,32,1,9,4,0,0
349,85,180,55,18,0,8,0,0,1
350,60,111,40,12,1,5,8,0,0
351,59,213,20,4,0,10,4,1,1
352,44,154,80,34,0,7,22,1,1
353,84,317,40,4,0,8,1,1,1
354,97,207,40,16,1,13,1,0,0
355,54,352,55,25,1,12,13,0,0
356,54,248,60,8,0,3,4,1,1
357,168,189,60,13,0,7,8,1,0
358,70,362,50,9,1,7,1,0,0
359,15,135,50,11,1,6,5,0,1
360,51,284,50,14,0,12,11,0,0
361,42,217,30,11,0,8,2,0,1
362,53,339,50,7,0,8,7,1,1
363,51,270,35,41,1,7,18,0,0
364,31,282,43,5,1,9,2,0,0
365,35,236,60,4,0,10,1,0,0
366,98,312,60,29,1,10,17,0,1
367,52,214,50,7,0,9,0,0,1
368,83,216,40,14,0,8,0,0,0
369,63,372,35,7,1,7,1,0,0
370,119,302,65,19,0,3,11,0,1
371,33,331,40,16,0,6,0,1,1
372,72,208,45,4,0,10,0,0,0
373,57,345,20,19,1,6,1,0,1
374,78,163,40,29,0,6,22,0,1
375,66,327,80,10,0,5,7,0,0
376,37,367,60,18,0,5,8,0,1
377,4,220,40,18,1,9,7,1,0
378,12,233,60,7,1,7,1,0,1
379,82,191,75,10,0,9,0,0,0
380,74,374,15,6,0,7,5,0,0
381,4,341,65,5,0,9,0,0,1
382,49,177,20,14,1,4,9,1,1
383,68,323,95,12,1,8,5,1,1
384,161,305,60,10,0,6,0,0,0
385,61,78,40,11,1,7,7,1,1
386,84,316,36,102,0,4,18,0,1
387,49,175,35,14,1,5,10,0,0
388,70,231,55,11,0,8,4,0,1
389,20,238,25,15,1,11,10,1,0
390,112,344,75,18,0,7,18,0,0
391,15,366,40,7,0,8,6,0,1
392,94,216,65,13,0,9,0,1,0
393,69,336,45,19,0,5,14,0,1
394,88,353,45,8,0,6,0,1,1
395,86,202,25,9,1,3,7,0,0
396,71,201,40,12,0,5,12,1,1
397,84,348,40,15,0,7,3,1,0
398,39,330,65,15,0,8,4,1,0
399,63,149,50,8,1,5,7,0,1
400,49,328,40,21,0,10,10,0,0
401,90,372,100,29,0,10,17,0,0
402,18,336,50,19,0,5,15,0,1
403,84,364,60,16,0,6,16,0,1
404,20,252,45,19,1,11,8,0,0
405,70,153,60,9,1,3,7,1,0
406,52,345,45,11,0,7,6,1,0
407,8,127,50,23,0,10,0,1,0
408,34,134,45,9,0,10,9,1,1
409,98,345,80,32,0,8,4,1,1
410,51,346,35,9,0,3,2,0,0
411,87,354,80,8,1,4,6,1,0
412,72,197,55,11,0,12,2,0,0
413,40,77,40,11,0,5,3,0,0
414,31,300,50,11,1,10,1,0,1
415,54,147,30,12,1,4,9,0,0
416,30,187,40,7,0,8,2,0,1
417,54,132,49,15,1,9,11,1,1
418,35,322,80,16,0,11,11,0,0
419,53,339,36,23,0,8,17,0,1
420,51,223,59,6,0,9,3,0,1
421,51,223,40,4,1,6,2,1,0
422,49,189,60,6,0,10,0,0,1
423,93,178,70,22,0,7,15,1,1
424,33,133,40,13,0,12,0,0,0
425,53,366,50,7,0,7,1,1,0
426,28,337,50,13,1,13,5,0,1
427,64,191,40,34,1,8,12,0,1
428,95,293,50,34,1,8,14,1,1
429,39,253,30,24,1,11,16,1,0
430,38,259,40,18,0,10,5,0,1
431,75,91,45,19,0,6,16,0,1
432,98,254,40,11,0,11,5,0,1
433,98,171,45,25,1,9,10,0,1
434,90,281,80,6,1,9,2,0,1
435,23,347,60,15,0,4,6,0,1
436,49,92,45,11,0,5,10,0,1
437,70,327,20,35,1,9,15,0,0
438,30,141,40,8,0,8,1,0,1
439,59,160,50,12,1,5,7,1,1
440,23,116,40,3,1,3,1,0,1
441,41,164,60,10,0,7,9,1,1
442,68,294,45,25,0,9,9,0,1
443,82,168,50,10,1,7,3,1,1
444,30,114,42,42,1,10,27,0,1
445,57,299,40,6,1,7,0,1,0
446,26,211,60,17,1,3,7,0,0
447,37,138,65,7,1,9,4,0,1
448,25,344,30,7,0,9,2,0,0
449,74,351,70,5,0,10,4,1,1
450,60,355,65,13,0,8,10,0,1
451,94,188,35,8,1,4,6,0,1
452,91,338,50,24,1,13,10,0,1
453,54,316,78,22,0,6,8,0,0
454,56,156,35,10,0,5,6,0,1
455,83,134,65,31,0,11,12,0,1
456,112,280,80,22,0,12,12,0,0
457,63,219,40,12,0,9,0,0,1
458,80,253,65,4,1,5,2,0,0
459,76,119,45,14,0,5,11,0,1
460,98,253,40,10,1,2,7,0,0
461,38,261,50,10,1,8,2,0,1
462,42,232,50,9,1,8,1,0,0
463,102,204,180,6,0,7,2,0,0
464,24,348,40,11,0,9,4,0,1
465,25,133,100,8,1,9,4,0,1
466,112,274,75,25,1,8,19,1,0
467,18,269,60,8,1,4,5,0,0
468,98,289,40,21,0,12,13,0,1
469,29,316,65,5,0,8,0,1,1
470,28,226,75,3,0,12,0,0,1
471,168,206,30,7,1,10,3,1,1
472,33,313,50,14,0,11,0,0,1
473,84,154,65,11,1,6,3,1,0
474,57,232,20,13,0,10,3,0,0
475,70,300,40,16,1,5,11,0,1
476,49,207,60,12,0,5,0,0,1
477,75,265,45,7,0,10,1,0,0
478,72,326,50,11,1,11,11,0,1
479,15,173,75,15,1,8,5,1,1
480,69,356,25,13,0,7,1,0,0
481,91,337,40,24,0,12,4,1,1
482,104,348,45,4,0,6,0,0,0
483,50,260,40,11,1,10,6,1,1
484,45,240,60,9,1,8,6,0,1
485,49,338,40,12,1,6,8,1,0
486,40,369,40,12,0,10,6,0,0
487,77,188,40,5,1,11,4,0,0
488,45,75,39,33,0,4,6,0,0
489,34,209,26,10,0,7,9,0,1
490,90,247,55,13,0,5,1,0,1
491,70,218,40,7,1,10,4,0,1
492,75,268,90,23,0,9,0,0,1
493,12,186,55,15,0,5,10,0,0
494,40,168,35,15,0,12,2,0,0
495,64,229,15,11,1,10,6,0,0
496,71,375,30,18,0,3,9,1,0
497,49,90,40,13,0,7,7,0,0
498,8,322,55,11,1,11,1,1,0
499,91,319,50,36,0,6,26,0,0
500,69,47,35,40,0,7,0,0,1
501,49,193,50,5,1,7,0,1,1
502,68,312,49,20,0,9,7,0,1
503,41,132,55,23,0,5,11,0,0
504,73,338,40,7,0,6,2,0,0
505,23,358,80,23,0,7,12,0,1
506,86,156,70,26,0,6,8,1,0
507,30,263,30,5,1,7,0,1,0
508,29,323,40,7,0,4,3,1,0
509,46,384,60,14,0,7,11,0,1
510,98,180,50,4,0,4,4,0,1
511,41,259,80,9,0,7,7,1,0
512,68,306,48,20,0,8,12,1,1
513,119,301,30,4,0,9,2,1,1
514,126,301,145,13,0,8,8,0,1
515,67,259,35,24,1,5,4,0,0
516,79,333,40,13,0,4,7,1,0
517,94,251,100,18,1,12,12,0,1
518,70,141,40,8,0,5,3,0,1
519,2,118,50,4,0,7,0,0,0
520,42,352,30,11,0,9,3,0,0
521,71,382,50,11,0,9,4,0,0
522,105,316,60,9,0,8,6,1,0
523,26,228,40,7,0,8,3,0,1
524,13,147,55,12,1,6,1,0,0
525,98,361,50,11,0,4,11,1,1
526,70,290,35,29,0,9,2,0,1
527,84,203,150,10,0,7,0,0,1
528,119,142,100,12,0,8,10,1,1
529,52,333,40,3,0,5,3,0,0
530,59,196,50,14,1,7,6,0,1
531,98,315,45,35,0,11,0,0,1
532,44,207,40,16,0,10,5,0,0
533,58,283,30,17,1,8,7,0,0
534,48,343,55,16,0,7,9,0,1
535,70,345,50,19,0,10,7,1,1
536,40,195,40,14,1,8,11,0,1
537,78,209,100,5,0,11,1,0,1
538,40,127,75,23,0,7,18,0,1
539,168,332,50,42,1,9,12,0,1
540,161,147,45,22,0,7,4,0,1
541,69,321,50,13,1,6,1,0,1
542,70,362,40,14,1,7,10,0,0
543,168,162,94,18,1,13,3,0,0
544,49,140,52,10,0,13,8,0,1
545,22,295,90,12,0,5,7,0,0
546,105,106,35,8,0,8,5,0,1
547,49,303,80,23,1,8,18,0,0
548,63,373,20,9,0,4,1,0,0
549,70,292,70,8,1,8,3,1,1
550,64,223,35,21,1,13,0,0,1
551,64,306,20,7,0,5,5,0,1
552,40,179,90,14,1,8,2,1,1
553,68,155,35,11,1,7,5,0,1
554,112,168,75,15,1,15,13,0,0
555,20,77,35,9,0,5,4,0,0
556,51,199,45,9,1,6,3,0,0
557,28,135,40,13,0,5,10,1,1
558,4,84,100,5,0,3,1,0,1
559,63,390,40,16,0,12,6,0,0
560,156,285,33,14,0,8,7,0,1
561,16,165,25,16,0,7,14,0,1
562,105,343,35,1,0,3,0,1,1
563,12,222,50,6,1,7,3,0,1
564,168,349,150,39,0,10,19,0,0
565,70,283,45,8,0,4,2,0,0
566,53,116,32,6,0,9,1,0,1
567,26,271,100,16,0,6,8,0,1
568,97,351,80,22,1,7,4,1,0
569,84,127,40,18,0,7,10,0,1
570,58,289,80,11,1,9,0,0,1
571,49,332,70,3,0,9,0,0,1
572,168,274,60,16,1,9,7,1,1
573,66,239,45,5,0,12,1,0,1
574,28,52,60,16,0,8,15,0,1
575,47,303,80,9,1,7,6,0,1
576,35,196,205,25,0,6,3,1,0
577,33,162,65,16,1,5,10,1,1
578,74,357,60,14,1,9,11,0,1
579,77,337,48,13,0,9,0,0,1
580,60,355,60,42,0,9,0,0,0
581,24,115,35,22,0,6,9,0,1
582,70,353,150,15,0,8,0,1,0
583,56,351,50,15,1,9,10,0,0
584,24,180,40,11,0,6,0,0,1
585,33,171,30,39,0,8,19,0,1
586,23,211,85,14,0,5,4,0,1
587,68,121,30,10,0,6,2,0,1
588,56,348,34,4,1,9,2,0,1
589,47,323,89,55,1,7,17,1,1
590,102,248,50,34,1,7,13,1,1
591,104,233,60,9,0,6,5,0,1
592,40,199,40,7,0,2,4,0,0
593,20,339,35,7,0,6,3,0,1
594,40,158,60,9,0,6,9,1,1
595,71,44,75,23,0,9,9,0,0
596,52,335,50,29,0,7,17,0,1
597,45,362,75,13,0,7,3,1,0
598,91,333,75,12,0,8,7,1,1
599,102,112,24,8,0,8,3,0,1
600,85,246,50,10,0,5,0,1,1
601,20,216,35,19,0,8,14,0,1
602,84,304,45,5,1,9,1,1,1
603,21,319,20,21,0,6,5,0,0
604,168,355,80,18,1,4,13,0,1
605,102,345,45,38,0,11,6,0,0
606,40,269,60,16,1,6,14,1,0
607,28,329,50,7,1,7,1,0,1
608,70,338,35,6,1,7,6,0,1
609,44,306,49,10,0,6,7,0,1
610,35,236,60,4,0,10,1,0,0
611,88,361,150,6,0,11,0,0,0
612,38,171,25,8,0,5,2,0,1
613,45,75,39,33,0,4,6,0,0
614,81,189,68,8,0,13,1,0,0
615,54,75,50,9,0,11,1,0,1
616,41,262,50,30,1,9,1,0,0
617,84,253,30,11,1,5,11,1,0
618,20,264,45,6,1,5,0,1,1
619,112,176,120,15,0,4,7,0,1
620,36,145,50,7,1,6,1,0,1
621,92,329,70,13,1,9,2,0,0
622,91,340,105,24,1,8,3,0,0
623,88,276,55,11,0,9,6,1,1
624,80,124,60,11,0,8,4,1,1
625,39,214,50,4,1,8,0,0,1
626,35,201,80,21,0,10,0,1,1
627,35,315,50,7,1,7,7,1,1
628,85,221,50,7,0,10,1,1,1
629,78,154,30,9,1,5,3,0,1
630,72,158,30,13,0,11,4,0,0
631,23,80,55,16,0,9,7,0,1
632,70,336,60,33,0,7,15,1,0
633,14,188,30,10,0,5,8,0,0
634,84,337,90,10,0,10,0,1,0
635,70,140,40,10,1,7,4,0,1
636,55,283,65,7,0,7,5,0,1
637,161,201,50,26,0,13,14,0,1
638,70,108,45,33,0,6,13,0,1
639,64,170,60,21,0,9,9,0,1
640,34,103,40,26,1,6,16,1,1
641,29,140,55,6,0,8,5,0,0
642,60,343,60,13,0,6,7,0,1
643,63,161,60,20,0,6,12,0,0
644,71,142,90,7,0,10,0,1,1
645,112,164,85,31,0,10,12,0,0
646,51,82,80,20,0,5,14,0,1
647,66,274,30,11,1,7,3,0,0
648,85,100,55,37,0,10,9,1,1
649,31,212,35,25,1,7,22,0,0
650,35,235,35,2,1,5,0,1,0
651,44,365,40,20,1,9,5,0,0
652,38,240,50,22,1,7,11,0,1
653,95,262,50,29,0,10,15,1,0
654,41,257,45,29,0,10,1,0,1
655,61,302,39,16,0,13,10,0,1
656,45,225,40,5,1,6,3,0,1
657,57,131,60,11,0,8,0,0,1
658,81,198,45,6,0,5,4,0,1
659,105,157,45,21,0,9,5,0,0
660,12,60,45,11,0,8,6,0,1
661,80,224,175,26,1,13,9,1,0
662,89,187,40,12,1,7,7,1,0
663,161,147,45,22,0,7,4,0,1
664,26,193,30,9,0,5,0,1,1
665,77,347,50,5,1,9,4,0,1
666,54,211,80,10,1,9,0,1,0
667,53,185,30,4,1,8,1,0,0
668,102,271,99,15,1,11,2,0,0
669,20,345,35,5,1,4,2,1,0
670,51,191,35,21,0,6,12,0,0
671,168,313,65,47,0,3,24,0,0
672,58,378,80,28,0,11,1,1,1
673,67,275,225,19,1,8,9,0,0
674,80,264,55,8,0,10,1,1,1
675,76,343,70,14,0,7,1,0,0
676,66,239,60,13,0,7,9,0,0
677,91,232,55,6,0,8,0,0,1
678,32,298,65,10,1,7,4,1,0
679,70,195,40,21,0,4,14,0,1
680,31,117,40,5,0,5,5,0,0
681,46,226,35,34,0,4,7,0,1
682,55,366,35,7,0,10,0,0,1
683,38,371,35,4,1,6,1,0,0
684,49,234,45,17,0,9,1,0,1
685,44,207,40,16,0,10,5,0,0
686,60,155,45,2,0,7,0,0,0
687,34,92,65,6,0,9,3,1,1
688,106,350,40,9,0,9,8,0,0
689,70,204,40,8,0,6,2,0,0
690,79,282,35,11,0,4,11,0,1
691,35,234,50,5,1,7,4,0,0
692,77,339,50,27,1,10,15,0,1
